"Merchant fleet by country of beneficial ownership, annual",
,
MEASURE,Dead weight tons in thousands
,
Ownership,Total all flags
          Albania,100.88
          Algeria,1154.35
          Angola,4778.989
          Anguilla,7.235
          Antigua and Barbuda,5.909
          Argentina,1545.592
          Aruba,1.654
          Australia,4928.85
          Austria,152.547
          Azerbaijan,612.761
          Bahamas,1073.362
          Bahrain,94.33
          Bangladesh,5004.535
          Barbados,1.866
          Belgium,26696.518
          Belize,37.78
          Bermuda,50220.307
          Bolivia (Plurinational State of),1.741
          Brazil,14287.015
          British Virgin Islands,661.62
          Brunei Darussalam,29.769
          Bulgaria,1960.238
          Cabo Verde,10.499
          Cambodia,8.24
          Cameroon,430.126
          Canada,9718.017
          Cayman Islands,219.625
          Chile,1277.637
          China,301997.355
"          China, Hong Kong SAR",117287.467
"          China, Macao SAR",53.982
"          China, Taiwan Province of",58549.256
          Colombia,115.753
          Congo,253.346
"          Congo, Dem. Rep. of the",20.864
          Cook Islands,8.455
          Costa Rica,65.003
          Côte d'Ivoire,1.2
          Croatia,2389.652
          Cuba,47.042
          Curaçao,3.398
          Cyprus,27341.575
          Denmark,39387.826
          Djibouti,16.965
          Dominica,6.449
          Dominican Republic,25.937
          Ecuador,485.075
          Egypt,4060.247
          Equatorial Guinea,480.421
          Eritrea,12.812
          Estonia,1262.61
          Ethiopia,335.796
          Faroe Islands,108.664
          Fiji,9.718
          Finland,2603.371
          France,54045.813
          French Polynesia,25.565
          Gabon,74.52
          Gambia,14.103
          Georgia,979.291
          Germany,76980.906
          Ghana,762.561
          Gibraltar,23.074
          Greece,393033.425
          Greenland,58.091
          Grenada,1.56
          Guam,0
          Guatemala,29.762
          Guinea,3.423
          Guyana,45.587
          Haiti,9.622
          Honduras,47.771
          Iceland,123.105
          India,30726.338
          Indonesia,28657.379
          Iran (Islamic Republic of),19305.808
          Iraq,321.458
          Ireland,2355.722
          Israel,2596.331
          Italy,14354.501
          Jamaica,3.271
          Japan,237673.376
          Jordan,312.495
          Kazakhstan,359.362
          Kenya,25.924
          Kiribati,2.318
"          Korea, Dem. People's Rep. of",997.723
"          Korea, Republic of",97144.236
          Kuwait,5144.251
          Lao People's Dem. Rep.,0
          Latvia,948.62
          Lebanon,3105.308
          Liberia,450.654
          Libya,2605.363
          Lithuania,263.792
          Luxembourg,2482.938
          Madagascar,0
          Malaysia,9959.308
          Maldives,137.593
          Malta,1717.157
          Marshall Islands,1391.216
          Mauritania,0
          Mauritius,211.247
          Mexico,2025.633
          Micronesia (Federated States of),1.865
"          Moldova, Republic of",405.694
          Mongolia,0
          Montenegro,139.974
          Morocco,68.14
          Mozambique,156.517
          Myanmar,263.308
          Namibia,62.306
          Netherlands (Kingdom of the),17686.77
          New Caledonia,3.975
          New Zealand,216.126
          Nicaragua,2.174
          Nigeria,7947.869
          Norway,55519.431
          Oman,8055.151
          Pakistan,1782.269
          Panama,923.263
          Papua New Guinea,130.303
          Paraguay,50.127
          Peru,651.708
          Philippines,2964.059
          Poland,2705.537
          Portugal,1147.15
          Qatar,7759.639
          Romania,1588.494
          Russian Federation,21639.798
          Saint Kitts and Nevis,88.08
          Saint Lucia,1.821
          Saint Vincent and the Grenadines,10.956
          Samoa,28.996
          Sao Tome and Principe,5.586
          Saudi Arabia,16642.449
          Senegal,7.325
          Serbia,7.155
          Seychelles,1150.154
          Sierra Leone,5.625
          Singapore,140824.814
          Slovenia,135.476
          Solomon Islands,0
          Somalia,0
          South Africa,830.586
          Spain,4402.285
          Sri Lanka,543.198
          Sudan,8.558
          Suriname,913.555
          Sweden,4591.51
"          Switzerland, Liechtenstein",37714.878
          Syrian Arab Republic,343.267
"          Tanzania, United Republic of",81.256
          Thailand,5005.597
          Timor-Leste,2.612
          Tonga,0.538
          Trinidad and Tobago,29.558
          Tunisia,303.091
          Türkiye,37348.182
          Turkmenistan,80.066
          Tuvalu,0.578
          Ukraine,3022.878
          United Arab Emirates,39732.861
          United Kingdom,58024.495
          United States of America,51199.576
          Uruguay,125.166
          Vanuatu,3.16
          Venezuela (Bolivarian Rep. of),2732.824
          Viet Nam,16059.69
          Yemen,551.044
